,AUC
logistic_regression.extra_trees_classifier_scaled.random,0.7643686917987563
logistic_regression.extra_trees_classifier_scaled.tomek,0.7634551050379951
logistic_regression.extra_trees_classifier_scaled.enn,0.763632061705294
logistic_regression.extra_trees_classifier_scaled.allknn,0.7636846659716836
logistic_regression.extra_trees_classifier_scaled.smote,0.7704929000397627
logistic_regression.extra_trees_classifier_scaled.border1,0.7754036833695671
logistic_regression.extra_trees_classifier_scaled.adasyn,0.7707638480106791
logistic_regression.extra_trees_classifier_scaled.smenn,0.7695377661081811
logistic_regression.extra_trees_classifier_scaled.smtomek,0.7702584649199805
logistic_regression.random_forest_classifier_scaled.random,0.7507855427245799
logistic_regression.random_forest_classifier_scaled.tomek,0.7560311291521457
logistic_regression.random_forest_classifier_scaled.enn,0.7560594342959774
logistic_regression.random_forest_classifier_scaled.allknn,0.7557061397304073
logistic_regression.random_forest_classifier_scaled.smote,0.7573512930894447
logistic_regression.random_forest_classifier_scaled.border1,0.7699815105554406
logistic_regression.random_forest_classifier_scaled.adasyn,0.7561025168569236
logistic_regression.random_forest_classifier_scaled.smenn,0.7519206349426546
logistic_regression.random_forest_classifier_scaled.smtomek,0.7572208274835011
logistic_regression.recursive_feature_elimination_scaled.random,0.7471054410146384
logistic_regression.recursive_feature_elimination_scaled.tomek,0.748695529067463
logistic_regression.recursive_feature_elimination_scaled.enn,0.7482409800827939
logistic_regression.recursive_feature_elimination_scaled.allknn,0.7474999218683719
logistic_regression.recursive_feature_elimination_scaled.smote,0.7515130470001484
logistic_regression.recursive_feature_elimination_scaled.border1,0.7612068198339612
logistic_regression.recursive_feature_elimination_scaled.adasyn,0.7513282858817476
logistic_regression.recursive_feature_elimination_scaled.smenn,0.7488638598827482
logistic_regression.recursive_feature_elimination_scaled.smtomek,0.7516799286501374
logistic_regression.recursive_feature_addition_scaled.random,0.7480027387256593
logistic_regression.recursive_feature_addition_scaled.tomek,0.749595528899401
logistic_regression.recursive_feature_addition_scaled.enn,0.7490637403485154
logistic_regression.recursive_feature_addition_scaled.allknn,0.7485041300400098
logistic_regression.recursive_feature_addition_scaled.smote,0.7519885590200946
logistic_regression.recursive_feature_addition_scaled.border1,0.7633240357072598
logistic_regression.recursive_feature_addition_scaled.adasyn,0.7516444429227996
logistic_regression.recursive_feature_addition_scaled.smenn,0.7507235264879851
logistic_regression.recursive_feature_addition_scaled.smtomek,0.7521844453251617
random_forest.extra_trees_classifier_scaled.random,0.7989667354190719
random_forest.extra_trees_classifier_scaled.tomek,0.7572889482002462
random_forest.extra_trees_classifier_scaled.enn,0.7702400848804466
random_forest.extra_trees_classifier_scaled.allknn,0.7740676784155328
random_forest.extra_trees_classifier_scaled.smote,0.7647164030618744
random_forest.extra_trees_classifier_scaled.border1,0.7712077726055
random_forest.extra_trees_classifier_scaled.adasyn,0.759687796891327
random_forest.extra_trees_classifier_scaled.smenn,0.7157212915873387
random_forest.extra_trees_classifier_scaled.smtomek,0.7660225142283273
random_forest.random_forest_classifier_scaled.random,0.7976942193625639
random_forest.random_forest_classifier_scaled.tomek,0.7535609596936409
random_forest.random_forest_classifier_scaled.enn,0.7670167765545948
random_forest.random_forest_classifier_scaled.allknn,0.7660820791751185
random_forest.random_forest_classifier_scaled.smote,0.7568057711133288
random_forest.random_forest_classifier_scaled.border1,0.7640460691624922
random_forest.random_forest_classifier_scaled.adasyn,0.7557774184535674
random_forest.random_forest_classifier_scaled.smenn,0.7073873252801491
random_forest.random_forest_classifier_scaled.smtomek,0.7569288081893596
random_forest.recursive_feature_elimination_scaled.random,0.7925803856180605
random_forest.recursive_feature_elimination_scaled.tomek,0.7427817226198048
random_forest.recursive_feature_elimination_scaled.enn,0.7531795374421154
random_forest.recursive_feature_elimination_scaled.allknn,0.7594342166248972
random_forest.recursive_feature_elimination_scaled.smote,0.7757187627002979
random_forest.recursive_feature_elimination_scaled.border1,0.779423796652403
random_forest.recursive_feature_elimination_scaled.adasyn,0.7724651335766661
random_forest.recursive_feature_elimination_scaled.smenn,0.6955892456043874
random_forest.recursive_feature_elimination_scaled.smtomek,0.7801796051594626
random_forest.recursive_feature_addition_scaled.random,0.784135199005918
random_forest.recursive_feature_addition_scaled.tomek,0.7319106897961335
random_forest.recursive_feature_addition_scaled.enn,0.7449533977255457
random_forest.recursive_feature_addition_scaled.allknn,0.745469704458534
