Membership No  Date Joined  Active  
    84318      2020-6-12    no    
    44060      2018-3-22    no    
    95765      2015-4-24    no    
    82389      2015-1-3     no    
    90949      2015-4-22    no    
    61369      2019-8-17    no    
    75820      2019-6-2     no    
    48249      2015-5-15    no    
    68724      2019-7-22    no    
    97783      2018-10-16   no    
    16268      2017-11-25   no    
    27227      2020-12-3    no    
    26385      2016-9-22    no    
    56225      2016-3-3     no    
    35416      2020-6-3     no    
